DATE,AAPL,META,MSFT,GOOG,AMZN,MKT,SMB,HML,RF,WINDOW,LAAPL,LMETA,LMSFT,LGOOG,LAMZN,RAAPL,RMETA,RMSFT,RGOOG,RAMZN,ERAAPL,ERMETA,ERMSFT,ERGOOG,ERAMZN
02/01/2019,37.943253,135.679993,96.023262,52.2925,76.956497,0.23,0.59,1.11,0.01,0,1.579134562,2.132515813,1.982376455,1.718439405,1.886245291,0.049524855,1.494626229,-0.192840633,0.427317374,1.061401079,0.039524855,1.484626229,-0.202840633,0.417317374,1.051401079
03/01/2019,34.163822,131.740005,92.490768,50.803001,75.014,-2.45,0.36,1.2,0.01,0,1.53356645,2.119717676,1.966098386,1.705889367,1.875142324,-4.55681112,-1.279813692,-1.627806963,-1.255003769,-1.11029666,-4.56681112,-1.289813692,-1.637806963,-1.265003769,-1.12029666
04/01/2019,35.622261,137.949997,96.792442,53.5355,78.769501,3.55,0.41,-0.7,0.01,0,1.551721481,2.139721695,1.985841447,1.728641863,1.896358094,1.81550309,2.000401978,1.974306128,2.275249578,2.121577012,1.80550309,1.990401978,1.964306128,2.265249578,2.111577012
07/01/2019,35.542973,138.050003,96.915871,53.419498,81.475502,0.94,1,-0.75,0.01,0,1.550753752,2.14003642,1.986394903,1.727699803,1.911027045,-0.09677297,0.031472504,0.055345628,-0.094206066,1.466895074,-0.10677297,0.021472504,0.045345628,-0.104206066,1.456895074
08/01/2019,36.220524,142.529999,97.618599,53.813999,82.829002,1.01,0.53,-0.63,0.01,0,1.558954729,2.153906282,1.98953257,1.730895266,1.918182429,0.820097729,1.386986168,0.313766727,0.319546383,0.715538362,0.810097729,1.376986168,0.303766727,0.309546383,0.705538362
09/01/2019,36.835621,144.229996,99.014503,53.733002,82.971001,0.56,0.46,0.1,0.01,0,1.566267996,2.159055591,1.995698812,1.730241105,1.91892633,0.731326695,0.514930938,0.616624142,-0.065416156,0.074390104,0.721326695,0.504930938,0.606624142,-0.075416156,0.064390104
10/01/2019,36.953346,144.199997,98.378265,53.516499,82.810997,0.42,0.03,-0.46,0.01,0,1.567653768,2.158965251,1.992899159,1.728487695,1.918088013,0.138577252,-0.009034012,-0.279965282,-0.175341023,-0.08383163,0.128577252,-0.019034012,-0.289965282,-0.185341023,-0.09383163
11/01/2019,36.590542,143.800003,97.618599,52.859501,82.028,-0.01,0.12,0.22,0.01,0,1.563368843,2.157758895,1.98953257,1.723123059,1.913962123,-0.428492585,-0.120635624,-0.33665886,-0.536463552,-0.41258906,-0.438492585,-0.130635624,-0.34665886,-0.546463552,-0.42258906
14/01/2019,36.040325,145.389999,96.906387,52.234501,80.860497,-0.6,-0.59,0.94,0.01,0,1.556788699,2.162534534,1.986352402,1.71795745,1.907736406,-0.65801439,0.477563846,-0.318016857,-0.516560881,-0.62257164,-0.66801439,0.467563846,-0.328016857,-0.526560881,-0.63257164
15/01/2019,36.777954,148.949997,99.717194,53.857498,83.727997,1.06,0,-0.88,0.01,0,1.565587565,2.173040499,1.998770049,1.731246174,1.922870702,0.879886662,1.050596524,1.241764724,1.328872378,1.513429549,0.869886662,1.040596524,1.231764724,1.318872378,1.503429549
